coin_name,symbol,latest_price,latest_volume,latest_market_cap,change_1d_pct,change_7d_pct,change_30d_pct,volatility_30d,mentions_proxy,sentiment_compound,sentiment_score,hype_score,trust_score,risk_level,prediction,prediction_confidence,rows_used
100xcoins,100XCOIN,2e-08,321007.39,0.0,0.0,-33.33333333333333,-33.33333333333333,0.2816130281901298,77,-0.9998748016167031,0,38,0,Critical,Down,99,62
Akita Inu,AKITA,9.4e-07,4715476.63,0.0,4.444444444444451,-25.396825396825395,-55.23809523809524,0.11671080154254031,48,-0.9982879856685053,0,24,0,Critical,Down,99,136
Chow Chow,CC,0.0033384,191778.45,0.0,15.08192313393475,-31.021800532667744,-57.529743427949164,0.16514688371795397,71,-0.9995005162328188,0,36,0,Critical,Down,99,95
Cumrocket Crypto,CUMMIES,0.040648,646611.61,54884170.81,0.17505003453930357,-34.20449891792236,11.36575656412202,0.30690446945456756,69,-0.9995736391921292,0,34,0,Critical,Down,99,76
Dogecoin,DOGE,0.26444968,2167521670.48,34431598885.98,8.033935238387823,-5.8563943913055745,-15.023926200126624,0.10259809934464592,29,-0.9358535598399456,3,16,40,High,Down,91,2752
Dogelon Mars,ELON,6e-08,2040281.62,29268819.95,0.0,-14.285714285714302,-62.5,0.10952414911299141,36,-0.9965091631588648,0,18,8,Critical,Down,99,66
Elongate,ELONGATE,6e-08,174361.71,0.0,0.0,-33.333333333333336,-62.5,0.16741609999614057,73,-0.9996842511202947,0,36,0,Critical,Down,99,81
Husky,HUSKY,1e-08,23542.96,0.0,0.0,0.0,0.0,0.0,0,-0.3112275929057771,34,17,73,Medium,Down,52,62
MemePad,MEPAD,0.03571753,832201.1,0.0,-3.293579516748535,-42.98269951209483,-77.9655353933939,0.14604312131128888,81,-0.9998911652977439,0,40,0,Critical,Down,99,58
Memes Token,MT,1e-08,3437.64,0.0,0.0,0.0,0.0,0.2105587219030787,45,-0.9653112595255995,2,24,0,Critical,Down,88,56
Monacoins,MONA,1.38683123,2024857.14,91155965.64,4.234974344064835,-19.992143506955095,-35.78961404653439,0.05615656511848862,36,-0.9816085988050601,1,18,45,High,Down,99,2628
Pepemon Pepeballs,PP,53.85525264,175430.71,753973.54,7.611524802111558,14.447011790119024,-25.98886090815844,0.0946727835639213,59,-0.8001317218007413,10,34,30,Critical,Down,91,134
Pig Finance,PF,1.1e-07,1267679.12,0.0,0.0,-31.25,-59.25925925925925,0.1444824962894972,51,-0.9995226691951831,0,26,0,Critical,Down,99,91
PooCoin,POOCOIN,2.92088579,193579.62,0.0,14.117979412827264,-10.292344050832137,-28.972878014770874,0.10223586203663838,100,0.33812844355578403,67,84,15,Critical,Up,62,70
Popcorn,POPCORN,0.10222859,1004.5,1753125.88,0.4002906669261952,-13.60402529832081,-8.31598819741528,0.056590084423292046,49,-0.8627801939859688,7,28,55,Medium,Down,93,211
Rotten,ROTTEN,0.0035172,20278.66,318026.65,41.03042186428647,21.24095139607032,-41.671061403596056,0.11647860149078196,100,0.9196683059586006,96,98,12,Critical,Up,99,277
Sad Cat,SC,2.525e-05,2450.76,0.0,12.773559624832508,8.555460017196893,-28.226264923251843,0.11673731847447068,8,-0.957279320621918,2,5,9,Critical,Down,94,91
Shiba INU,SHIB,7.86e-06,368723896.78,3101198479.54,5.080213903743291,0.7692307692307665,-0.5063291139240644,0.08140929938229116,16,-0.7564601600310309,12,14,55,Medium,Down,77,202
Tendies,TENDIES,0.11224084,93461.9,841953.33,8.729865654135427,19.322968415157483,-16.273100719408905,0.23661230535740072,78,-0.968622631399666,2,40,0,Critical,Down,99,332
